Name,Abbreviation,Nickname
Pontifical Institute for Foreign Missions,P.I.M.E.,
Société des Missions-Étrangères,P.M.E.,
Little Mission for the Deaf and Dumb,P.M.S.,
Pious Workers Rural Catechists,P.O.C.R.,Ardorini Missionaries
Poveri Servi della Divina Provvidenza,P.S.D.P.,Don Calabria
Priests of Saint Mary of Tinchebray,P.S.M.,
,,
Society of Saint Cajetan,P.S.S.G.,
Regnum Christi,R.C.,
Rogationists of the Heart of Jesus,R.C.J.,Rogationists
Religieux de Saint Vincent de Paul,R.S.V.,
Society of Christ for Polish Immigrants,S. Chr.,
Company of Mary for the Education of the Deaf,S. M.,
Society of Mary,S. M.,Marianist Fathers
Franciscan Friars of the Atonement,S.A.,
Brothers of the Sacred Heart,S.C.,
Congregation of the Priests of the Sacred Heart,S.C.I.,Dehonians
Priests of the Sacred Heart of Jesus of Bétharram,S.C.I. di Béth.,
Congrégation du Sacré-Coeur,S.C.J.,Pères de Timon David
Servants of Christ the Priest,S.C.P.,
,,
Congregation of Servants of Charity,S.d.C.,Guanellian Priests and Brothers
Servi della Divina Misericordia,S.D.M.,
Missionary Servants of the Poor,S.d.P.,Morsel of the Poor
Society of the Divine Savior,S.D.S.,Salvatorians
Society of Divine Vocations,S.D.V.,Vocationists
Esclavos de la Eucaristía y de María Virgen,S.E.M.V.,
Hijos de la Sagrada Familia,S.F.,
Scarboro Foreign Mission Society,S.F.M.,
Society of the Missionaries of Saint Francis Xavier,S.F.X.,Pilar Fathers
Montfort Brothers of Saint Gabriel,S.G.,
Brothers of the Sacred Heart,S.H.J.,
Servants of Jesus and Mary,S.I.M.,
Society of Joseleitos of Christ,S.J.C.,Joseleitos
Society of Saint John Mary Vianney,S.J.M.V.,
Society of Mary,S.M.,Marist Fathers
Society of African Missions,S.M.A.,
Society of Bethlehem Mission Immensee,S.M.B.,
Missionaries of the Company of Mary,S.M.M.,Montfort Missionaries
Sovereign Military Hospitaller Order of Saint John of Jerusalem of Rhodes and of Malta,S.M.O.M.,Sovereign Military Order of Malta
Missionários da Boa Nova,S.M.P.,Portuguese Missionary Society
Società dei Missionari di San Paolo (Melkite Greek),S.M.S.P.,Pères Paulistes
Servants of the Holy Paraclete,S.P.,
Congregación de San Pedro ad-Vincula,S.P. ad V.,
St. Patrick’s Society for the Foreign Missions,S.P.S.,Kiltegan Fathers
Priestly Society of Saint Jacques,S.P.S.J.,
Priestly Society of St. Joseph Benedict Cottolengo,S.S.C.,Cottelengo Congregation
Missionary Society of St. Columban,S.S.C.M.E.,Columban Missionaries
Society of Saint Edmund,S.S.E.,Edmundites
Society of St. Paul,S.S.P.,Paulines
Congregation of the Blessed Sacrament,S.S.S.,Blessed Sacrament Fathers
Missionary Servants of the Most Holy Trinity,S.T.,
Society of the Divine Word,S.V.D.,Divine Word Missionaries
Xaverian Missionary Fathers,S.X.,Xaverians
Order of the Pious Schools,Sch. P.,Piarists
Congregation of the Sacred Hearts of Jesus and Mary,SS.CC.,Picpus Fathers
Capuchin Tertiary Religious of Our Lady of Sorrows,T.C.,
Third Order Regular of St. Francis of Penance,T.O.R.,Franciscan Friars (T.O.R.)
